,Title,data
10,No se puede iniciar sesión en Netflix,"Si tienes problemas para iniciar sesión en tu cuenta de Netflix, elige la opción que mejor se adapte a tu situación.
Si aparece un mensaje de error al iniciar sesión
Si no puedes iniciar sesión en ningún dispositivo
Si puedes iniciar sesión en un dispositivo, pero no en otro"
11,Netflix solicita que te suscribas cuando intentas iniciar sesión,"Si ves los pasos para crear una nueva cuenta al intentar iniciar sesión en Netflix, sigue estos pasos para volver a la página de inicio de sesión.
Computadora, teléfono o tablet
Smart TV o decodificador
Si estos pasos no funcionaron, tu cuenta está usando otra dirección de email o ya no está activa. Comprueba si Netflix te cobró recientemente.
Si:
tienes un cargo de Netflix en el último mes, tu cuenta sigue activa, pero es posible que esté utilizando otra dirección de email. Intenta iniciar sesión con otra dirección de email.
NOTA:Si no recuerdas el email o el número de teléfono de tu cuenta de Netflix, sigue estos pasos para la solución de problemas.
no tienes ningún cargo de Netflix en el último mes, es posible que tu cuenta ya no esté activa. Sigue los pasos para reiniciar tu cuenta.
NOTA:Si tienes una tarjeta de regalo o promoción activa en tu cuenta, quizás no puedas ver cargos recientes de Netflix."
12,Netflix dice que la cuenta está en uso,"Si aparece el código de error E123 o cualquiera de estos mensajes al reproducir una serie o película:
Hay demasiadas personas usando tu cuenta en este momento.
Tu cuenta de Netflix ya está en uso en otro dispositivo.
Tu cuenta de Netflix ya está en uso en demasiados dispositivos.
Esto significa que se alcanzó la cantidad máxima de dispositivos que pueden ver Netflix al mismo tiempo usando tu cuenta de Netflix. Tu plan de Netflix determina en cuántos dispositivos se permite ver Netflix al mismo tiempo usando tu cuenta.
Para solucionar el problema:
En otro dispositivo en el que esté en uso tu cuenta, deja de reproducir Netflix o cierra la app de Netflix. Si desconoces qué dispositivos podrían estar usando Netflix al mismo tiempo, puedes comprobar qué dispositivos se usaron recientemente para ver Netflix.
NOTA:Después de detener Netflix en otro dispositivo, es posible que tengas que esperar de 5 a 10 minutos antes de poder ver contenido en tu dispositivo.
También puedes cambiar tu plan de Netflix por uno superior para que se pueda ver Netflix en más dispositivos al mismo tiempo (hasta 4 con el plan Premium).
Si se está usando tu cuenta de Netflix sin tu permiso, puedes evitar que alguien use tu cuenta."
13,"Netflix muestra el mensaje ""Tu cuenta está suspendida por un problema con el último pago"".","Aparece el código de error E101 o este mensaje de error:
Tu cuenta está suspendida debido a un problema con el último pago.
Esto significa que Netflix no pudo procesar el pago de tu cuenta. Esto se puede deber a varios motivos:
La forma de pago podría no tener suficientes fondos.
Ten en cuenta que otros cargos o autorizaciones pendientes pueden afectar el saldo de la tarjeta.
La forma de pago ya no es válida o está vencida.
La institución financiera no aprobó el cargo mensual.
La información de pago suministrada a Netflix no coincide con los registros de tu banco.
Solo en los EE. UU: el código postal de la tarjeta de crédito registrado en tu cuenta de Netflix no coincide con el registrado en tu banco.
Sigue estos pasos para solucionar el problema.
Actualiza tu forma de pago
Comunícate con la institución financiera"
14,Cargos no reconocidos o no autorizados de Netflix,"Si ves cargos de Netflix inesperados en tu estado de cuenta, sigue los siguientes pasos cuando corresponda.
Se te cobró Netflix, pero no tienes una cuenta
Se sigue cobrando en una tarjeta vencida
Se te cobró un monto diferente al esperado
Se te cobró después de cancelar la cuenta
Se te cobró varias veces"
15,Netflix me cobró dos veces,"Hay diferentes motivos por los que podrías ver más de un cargo de Netflix en tu factura:
Agregaste recientemente una forma de pago a tu cuenta
Cambiaste recientemente tu plan
Si ninguno de los motivos anteriores corresponde a tu caso y ves más de un cargo de Netflix, comunícate con nosotros.
¿No es exactamente lo que estás buscando? Consulta también Cargos no reconocidos o no autorizados de Netflix o Se me cobró después de cancelar Netflix."
16,Netflix no funciona,"Si Netflix no funciona, ingresa el mensaje o código de error o describe el problema en la barra de búsqueda.
Buscar
Problemas comunes
Pantalla negra sin sonido
Pantalla negra con sonido
Netflix se congela, deja de responder o se bloquea durante la carga, pero el dispositivo no se congela.
El video se congela, pero el sonido sigue reproduciéndose
No se puede iniciar sesión en Netflix
Artículos relacionados
No se puede iniciar sesión en Netflix
Netflix se congela, deja de responder o se bloquea durante la carga, pero el dispositivo no se congela.
Facturación y pagos"
17,Error de Netflix NW-2-5,"Es posible que veas este mensaje en tu TV o dispositivo de streaming para TV cuando intentes abrir Netflix:
Netflix encontró un error. Reintentando en [X] segundos.
Código: NW-2-5
El código de error NW-2-5 indica que tu dispositivo tardó demasiado en conectarse a Netflix. Por lo general, eso significa que hay un problema con la conectividad a internet en el dispositivo o la red doméstica.
Sigue los pasos que se indican a continuación para solucionar el problema. Si el problema no se soluciona después de seguir estos pasos, tendrás que comunicarte con tu proveedor de servicios de internet.
1. Comprueba tu conexión a internet
2. Reinicia tu dispositivo
3. Reinicia la red doméstica
4. Cambia de lugar tu enrutador wifi
5. Establece la configuración de DNS en automático (solo PlayStation/Xbox)
6. Comunícate con tu proveedor de servicios de internet"
18,Error de Netflix ui-800-3,"Si el error que aparece en tu dispositivo también tiene números entre paréntesis ( ), busca ese código de error exacto en nuestro Centro de ayuda para obtener los pasos correctos. Ejemplo: ui-800-3 (123456)
Si el error que aparece en tu dispositivo solo muestra el código ui-800-3, esto indica que es necesario actualizar la información almacenada en el dispositivo, o que un problema de red impidió la reproducción de Netflix.
Para solucionarlo, sigue los pasos específicos para tu dispositivo.
TV o dispositivo conectado a TV
Consola de videojuegos
Todos los demás dispositivos"
19,Error de Netflix tvq-pb-101,"Verifica el código de error en tu TV. Si aparecen otros números o letras entre paréntesis ( ), busca ese código de error exacto en nuestro Centro de ayuda. Posiblemente haya un artículo que incluya pasos para solucionar ese código de error exacto.
Este error se produce cuando hay un problema con los datos almacenados en tu dispositivo que impide la reproducción de Netflix.
Para solucionarlo, sigue los pasos específicos para tu dispositivo.
Smart TV
Reproductor multimedia
Decodificador
Roku
PlayStation 3
Xbox 360
Todos los demás dispositivos"
20,Error de Netflix 113,"Aparece el código de error 113 en tu Apple TV, acompañado en algunas ocasiones por uno de los siguientes mensajes:
Lo sentimos, hubo un problema al iniciar sesión.
No se pudo verificar tu nombre de cuenta o contraseña de Netflix. Vuelve a intentarlo. Dirígete a www.netflix.com/support para obtener más información.
Esto indica, por lo general, que hay un problema con tu información de inicio de sesión. Sigue los pasos que se indican a continuación para solucionar el problema.
Verificar el email y la contraseña
Restablecer tu contraseña
Reinicia tu dispositivo
Reinstalar la app de Netflix
Actualizar tu Apple TV
Restablecer toda la configuración en tu Apple TV"
21,Solucionar un problema en tu teléfono o tablet con Android,"Si Netflix no funciona en tu teléfono o tablet con Android, con frecuencia puedes solucionar el problema con estos pasos básicos.
Apaga tu dispositivo y vuelve a encenderlo
Borrar los datos de la aplicación de Netflix
Reinstalar la aplicación de Netflix
Probar tu conexión a internet
Reinicia la red doméstica




Qué hacer a continuación"
22,Cómo solucionar un problema en tu TV o reproductor multimedia,"Si Netflix no funciona en tu TV o en un dispositivo conectado a la TV, muchas veces es posible solucionar el problema siguiendo estos pasos básicos.
Reinicia tu dispositivo
Reinicia la red doméstica
Cerrar sesión en Netflix
Qué hacer a continuación"
23,"Netflix muestra el mensaje: ""Esta app no es compatible con tu dispositivo"".","Cuando intentes descargar la app de Netflix, es posible que veas este mensaje en tu teléfono o tablet con Android:
Esta app no es compatible con tu dispositivo.
Este mensaje generalmente indica que el dispositivo no puede obtener la app de Netflix desde Google Play Store porque no tiene la certificación Play Protect.
Para solucionar el problema:
Verificar el estado de Play Protect de tu dispositivo
Abre la app Play Store.
En el área superior derecha, toca tu ícono de perfil.
Toca Configuración > Acerca de.
En Certificación de Play Protect, consulta el estado de certificación de tu dispositivo.
Si aparece el mensaje El dispositivo está certificado, comunícate con nosotros para obtener más información.
Si el dispositivo no está certificado, deberás usar un dispositivo compatible para ver Netflix. Te recomendamos que te comuniques con el fabricante del dispositivo para consultar por un dispositivo con certificación Play Protect. Para obtener más información, ve a la página de soporte sobre la certificación Play Protect de Google."
24,El navegador no es compatible,"Si Netflix te llevó a este artículo en lugar de reproducir una serie o una película, quiere decir que tu navegador no es compatible con la reproducción de los videos de Netflix.
NOTA:Netflix finalizó el soporte para Silverlight el 13 de septiembre de 2023.
Para seguir viendo Netflix, deberás actualizar tu navegador a una versión compatible con HTML5:
Google Chrome
Microsoft Edge
Safari
Mozilla Firefox
Opera
NOTA:Para conocer los navegadores que funcionan con tu computadora, consulta los requerimientos del sistema."
25,Pantalla negra con sonido,"Si escuchas sonido, pero no ves el video, o si el video se vuelve negro durante la reproducción, generalmente significa que existe un problema con tu dispositivo o con el cable de video que impide que Netflix muestre el video.
NOTA:Si no recibes ni sonido ni video, sigue estos pasos.
Para solucionarlo, sigue los pasos específicos para tu dispositivo.
TV o dispositivo conectado a TV
Teléfono o tablet con Android
iPhone o iPad
Computadora
Chromecast
PlayStation 4
Xbox
Todos los demás dispositivos"
26,"Cómo crear, cambiar o eliminar perfiles","Las personas que viven en un mismo hogar pueden tener su propia experiencia personalizada de Netflix. Puedes tener hasta 5 perfiles con una misma cuenta de Netflix.
NOTA:Los perfiles no están disponibles en dispositivos fabricados antes de 2013. Las cuentas de miembro extra tienen 1 perfil, y no se pueden crear perfiles adicionales en ellas.
Cada perfil tiene sus propias opciones de:
Preferencias de idioma
Calificación por edad
Restricciones de visualización específicas
Bloqueo de perfil
Registro de actividad de visualización
Alias de juegos
Progreso guardado de los juegos
Aspecto de los subtítulos
Configuración de reproducción
Sugerencias personalizadas de películas y series
Mi lista
Calificaciones
Email (para emails de notificación y solo perfiles con clasificación para todas las edades)
NOTA:Ciertas funciones no están disponibles para los perfiles de niños.
Crear un perfil
Eliminar un perfil

Cambiar un perfil
Usar perfiles y controles parentales
Agregar o actualizar una dirección de email


Crear y administrar alias de juegos"
27,Cómo cambiar el idioma en Netflix,"Puedes cambiar el idioma del texto que ves en Netflix y el idioma del audio y los subtítulos.
Cambiar el idioma de visualización de Netflix
Cambiar el idioma del audio y los subtítulos"
28,Transferencias de perfiles,"La transferencia de perfiles les permite al miembro de Netflix y a las personas que usan la cuenta del miembro transferir un perfil a una cuenta nueva, una cuenta existente o un cupo de miembro extra. Esto incluye recomendaciones, historial de contenido visto, Mi lista, progreso guardado de los juegos, configuración y más.
La función de transferencia de perfiles se incluye en tu cuenta. Si no quieres habilitar esta función en tu cuenta, sigue estas instrucciones para desactivar las transferencias de perfiles.
Un perfil puede transferirse siempre que:
esté en una cuenta activa;
no sea un perfil de Niños;
no esté protegido por PIN (si tiene un PIN, quítalo y luego haz la transferencia);
no tenga una dirección de email asociada a ese perfil.
Cómo...
Activar o desactivar la transferencia de perfiles
Iniciar una cuenta nueva con la transferencia de perfiles
Transferir un perfil a una cuenta actual
Transferir un perfil a una cuenta de miembro extra
Información que se transferirá
Qué se transferirá

Cómo eliminar los perfiles transferidos
Más información acerca de la transferencia de perfiles
Cómo transferir un perfil a una cuenta pagada a través de un paquete de socio proveedor de servicio, un complemento de paquete o facturación por medio de terceros
Cómo duplicar un perfil dentro una cuenta actual
Cómo terminar una transferencia incompleta"
29,Uso de Netflix fuera de tu casa,"Es fácil ver Netflix cuando estás fuera de casa o de viaje. Puedes ver Netflix como siempre, en tus dispositivos móviles, ya sean tablets, teléfonos celulares o laptops, o puedes iniciar sesión en una TV nueva, por ejemplo, en un hotel o en una casa de vacaciones.
Segunda casa o viajes frecuentes al mismo lugar
Cuando uses Netflix fuera del país desde el que te suscribiste, puedes encontrar algunas pequeñas diferencias:
Selección de series y películas: Es posible que las opciones de streaming y descarga (incluidas las opciones de audio y subtítulos) varíen según el país. Además, los títulos de Mi lista y Continuar viendo podrían no estar disponibles.
Diferentes clasificaciones por edad: Las clasificaciones por edad y otras clasificaciones en Netflix corresponden al país en el que te encuentras. Si configuraste controles parentales que utilizan un sistema de clasificación diferente del país que estás visitando, es posible que la disponibilidad de ciertos títulos varíe en función de las diferencias en las clasificaciones por edad.
Descargas: Los títulos descargados en tu teléfono, tablet o computadora podrían no estar disponibles mientras estás en otro país.
NOTA:Las tarjetas de regalo y otras formas de pago en efectivo varían según el país. Es posible que no estén disponibles o no sean elegibles para su uso en el lugar al que viajes. No te olvides de recargar tu cuenta o agregar una forma de pago de respaldo antes de viajar.
Si estás preparándote para mudarte o te mudaste recientemente, consulta Las mudanzas y Netflix para ver qué debes tener en cuenta."
30,Cómo obtener la mejor calidad de video,"Asegúrate de estar viendo Netflix en la calidad más alta posible, ya sea en HD, Ultra HD 4K o HDR.
Deberías ver automáticamente con la mejor calidad. Sin embargo, si no es la que esperas, este artículo podría ayudarte.
Si quieres cambiar la calidad de video de las descargas, consulta Cómo cambiar la calidad de video de una descarga.
Sigue cada uno de los siguientes pasos. Si realizas algún cambio, antes de continuar, detente y comprueba si notas alguna diferencia.
1. Consulta la etiqueta de calidad de video de Netflix






2. Consulta tu plan
3. Comprueba tu red
4. Comprueba tus dispositivos

5. Realiza la comprobación con los títulos correctos
6. Comprueba la configuración de tu cuenta
¿Estás viendo Netflix en una computadora o un dispositivo móvil? Es posible que debas revisar algunos detalles más. Para obtener más información, consulta el artículo correspondiente a tu dispositivo: Windows, Mac, teléfono o tablet con Android, iPhone o iPad
Si completaste todos los pasos y todavía no obtienes la calidad de video esperada, comunícate con el fabricante del dispositivo."
31,"Cómo usar subtítulos, subtítulos descriptivos o seleccionar el idioma de audio","Puedes cambiar los subtítulos, los subtítulos descriptivos y el idioma de audio en muchas series y películas. En TV y dispositivos conectados a TV, Netflix te mostrará los 5 a 7 idiomas más relevantes de acuerdo con tu ubicación y configuración de idioma. Para iPhone, iPad, teléfonos y tablets con Android y navegadores web, verás todos los idiomas disponibles para un título. Para las descargas, Netflix te mostrará los 2 idiomas más relevantes.
Para usar subtítulos, subtítulos descriptivos o seleccionar el idioma de audio:
Abre Netflix.
Selecciona una serie o una película.
Inicia la reproducción y toca la pantalla.
En la parte superior o inferior de la pantalla, selecciona Audio y subtítulos.
Realiza los cambios en las selecciones de audio o de subtítulos.
NOTA:Las preferencias de subtítulos y audio no se guardan al ver la mayoría de los títulos para Niños desde un perfil de adultos. Se guardan al ver desde un perfil de Niños.
Para saber si un título tiene subtítulos para personas sordas y con problemas de audición (SDH), comprueba si aparece el símbolo de SDH en la página de información.
NOTA: Algunas series podrían no tener SDH para todas las temporadas o los episodios."
32,"Cómo usar ""Mi lista""","Puedes crear una lista de visualización de series y películas agregándolas a Mi lista. En los dispositivos móviles compatibles, también puedes agregar juegos a Mi lista.
Para agregar a Mi lista
Para eliminar de Mi lista
Para ver Mi lista
Acerca de Mi lista"
33,Accesibilidad en Netflix,"Hay varias opciones para acceder a Netflix y ver el contenido. Las siguientes funciones de accesibilidad están disponibles para ayudar a las personas que tienen necesidades especiales en materia auditiva, visual o de movilidad.
Sistemas de asistencia auditiva
Puedes usar varios tipos de sistemas de asistencia auditiva como auriculares, audífonos o audífonos colgantes para escuchar las series o películas que estás viendo.
Audio descriptivo
El audio descriptivo proporciona más detalles sobre lo que sucede en la pantalla, desde expresiones faciales y movimientos hasta cambios de escena. Netflix tiene una amplia variedad de series y películas disponibles con audio descriptivo.
Controles de brillo
Puedes aumentar o disminuir el brillo de una serie o una película mientras la ves en un dispositivo móvil.
Controles de tamaño de fuente
Para ver un tamaño de fuente más grande en la app de Netflix, actualiza la configuración en tu dispositivo móvil con iOS o Android.
Accesos directos de teclado
Puedes controlar la reproducción de series y películas usando accesos directos de teclado en tu computadora. Las opciones incluyen reproducir/pausar, retroceder, adelantar, así como ajustar el tamaño de la pantalla y el volumen.
Controles de velocidad de reproducción
Puedes aumentar o disminuir la velocidad de reproducción de una serie o película mientras la ves en un dispositivo móvil.
Lectores de pantalla
Hay muchos lectores de pantalla que leen el texto en voz alta y te permiten así usar Netflix.
Subtítulos y subtítulos ocultos
Los subtítulos muestran los diálogos como texto que puedes leer en la pantalla. Los subtítulos ocultos no solo incluyen el texto del diálogo, sino que también proporcionan detalles sobre los sonidos incluidos en las series o películas. Puedes cambiar la fuente, el tamaño, la sombra y el color del fondo de los subtítulos y los subtítulos ocultos. Si tienes dudas o preguntas sobre los subtítulos ocultos en Netflix, ponte en contacto con nosotros.
Comandos de voz
Por medio de comandos de voz, Netflix te permite buscar y reproducir series y películas. Muchos controles remotos y asistentes que poseen activación por voz te permiten controlar Netflix únicamente con tu voz.
Aprende a compartir comentarios relacionados con la accesibilidad para obtener asistencia adicional o para darnos tu opinión sobre nuestras funciones e iniciativas de accesibilidad."
34,Cómo descargar títulos para ver offline,"Puedes ver series y películas offline cuando quieras, solo tienes que descargarlas de la app de Netflix. A continuación, puedes obtener más información sobre cómo buscar, descargar y ver series y películas descargadas.
Para descargar series o películas, deberás tener uno de estos dispositivos con la versión más reciente de la app de Netflix instalada:
Teléfono o tablet con Android
iPhone o iPad
Tablet Amazon Fire
Google Chromebook (con Google Play Store instalada)
NOTA:Algunas versiones más antiguas del sistema operativo de estos dispositivos podrían no admitir descargas. Asegúrate de que el dispositivo tenga instaladas las actualizaciones más recientes.
Buscar una serie o película
Busca cualquier serie o película y fíjate si aparece el ícono Descargas para comprobar si se puede descargar, o bien filtra por el contenido disponible para descargar.
NOTA:No todas las series y películas están disponibles para descargar. Para conocer los motivos, consulta este artículo para obtener más información.
Descargar una serie o película
Abre la app de Netflix.
Explora todas las series y películas disponibles para descargar:
Dispositivos iPhone, iPad, Android o Fire: toca Descargas > Ver qué puedes descargar.
Chromebook: haz clic en Descargas > Buscar más para descargar.
Selecciona una serie o película que quieras descargar en tu dispositivo.
En el caso de las películas, selecciona Descargar.
En el caso de las series, selecciona el botón para descargar situado junto al episodio que quieras descargar.
NOTA:Los dispositivos con Android y las tablets Fire también incluyen el botón Descargar temporada.
Para ahorrar datos, te recomendamos que te conectes a una red wifi para hacer la descarga.
Puedes tener hasta 100 descargas activas a la vez por dispositivo en la cantidad de dispositivos incluidos en tu plan de Netflix.
Si cancelas tu cuenta, se borrarán las descargas almacenadas en tu dispositivo. Si reinicias tu membresía, deberás volver a descargar el contenido.
Ver series y películas descargadas
Para acceder y ver las descargas offline, sigue estos pasos.
Abre la app de Netflix.
Selecciona Descargas.
Busca la descarga que deseas ver y selecciona Reproducir.
NOTA:Al usar un perfil de Niños, es posible que las series y películas descargadas que tengan clasificaciones por edad más altas no estén disponibles para ver offline.
Las series y películas descargadas están disponibles en el dispositivo en el que se las descargó y se pueden ver con cualquiera de tus perfiles de Netflix.
Las descargas vencen después de un plazo, y para ciertos contenidos descargables hay restricciones en cuanto a la cantidad de veces que se los puede descargar en un año. Cuando hayas visto los títulos descargados, elimínalos de tu dispositivo para liberar espacio.
Más información sobre las descargas
Cómo usar Autodescargas
Cómo usar ""Descargar episodio siguiente""
Cómo usar Descargas para ti
Cómo cambiar la calidad de video de una descarga
Cómo almacenar descargas en una tarjeta SD
Solucionar problemas comunes con las descargas
No se puede descargar una serie o película
¿Por qué una película o serie no está disponible para descargar?
El contenido que descargué muestra el mensaje ""Caducado""."
35,Cómo buscar y navegar en Netflix,"Para buscar series y películas, localiza el ícono Búsqueda en la app de Netflix e ingresa tu término de búsqueda.
NOTA:Para buscar películas y series por subtítulos e idiomas específicos, visita Explorar por idiomas en la web.
Buscar
Términos de búsqueda de ejemplo
Calidad de audio o video
Atmos, UHD
Géneros
Comedia, Drama
Idioma
Películas en español, series en francés
Nombres
Jennifer Aniston, Álvaro Morte
Título de la serie o película
Gambito de dama, La casa de papel
Navegación
La página de inicio muestra filas de series y películas que creemos que te encantarán. Puedes refinar estas sugerencias seleccionando Series o Películas en el menú. Puedes limitar aún más los criterios por Géneros o Categorías. El nombre de esta selección (y sus valores) podría variar entre dispositivos.
Para encontrar series y películas lanzadas recientemente, consulta Novedades populares, Más recientes o Nuevo y popular del menú (el nombre de la sección varía en función de tu dispositivo).
NOTA:Si no encuentras una serie o película que estabas buscando, verifica la clasificación por edad y las preferencias de idioma del perfil, ya que estas pueden afectar lo que ves. Si aún no encuentras lo que buscas, puedes sugerir series o películas."
